Logging to ./data/Pendulum-v1_ppo/ppo_4054553989/
----------------------------------
| rollout/           |           |
|    learning_rate        | 0.0003       |
|    loss                 | 3.62e+03     |
|    n_updates            | 120          |
|    policy_gradient_loss | -0.00543     |
|    std                  | 0.981        |
|    value_loss           | 7.47e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 200          |
|    ep_rew_mean          | -1.21e+03    |
| time/                   |              |
|    fps                  | 426          |
|    iterations           | 14           |
|    time_elapsed         | 67           |
|    total_timesteps      | 28672        |
| train/                  |              |
|    approx_kl            | 0.0032100854 |
|    clip_fraction        | 0.0271       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.39        |
|    explained_variance   | 0.00036      |
|    learning_rate        | 0.0003       |
|    loss                 | 3.99e+03     |
|    n_updates            | 130          |
|    policy_gradient_loss | -0.00334     |
|    std                  | 0.96         |
|    value_loss           | 7.98e+03     |
------------------------------------------
------------------------------------------
| eval/                   |              |
|    mean_ep_length       | 200          |
|    mean_reward          | -1.12e+03    |
| time/                   |              |
|    total_timesteps      | 30000        |
| train/                  |              |
|    approx_kl            | 0.0020590606 |
|    clip_fraction        | 0.0104       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.37        |
|    explained_variance   | 0.000447     |
|    learning_rate        | 0.0003       |
|    loss                 | 3.28e+03     |
|    n_updates            | 140          |
|    policy_gradient_loss | -0.000615    |
|    std                  | 0.948        |
|    value_loss           | 7.08e+03     |
------------------------------------------
----------------------------------
| rollout/           |           |
|    ep_len_mean     | 200       |
|    ep_rew_mean     | -1.19e+03 |
| time/              |           |
|    fps             | 420       |
|    iterations      | 15        |
|    time_elapsed    | 73        |
|    total_timesteps | 30720     |
----------------------------------
